,Winner_mark,HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,Generation_first_1,Generation_first_2,Generation_first_3,Generation_first_4,Generation_first_5,Generation_first_6,Generation_second_1,Generation_second_2,Generation_second_3,Generation_second_4,Generation_second_5,Generation_second_6,Legendary_first_0,Legendary_first_1,Legendary_second_0,Legendary_second_1
3501,2,-20,25,8,32,5,-5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3502,2,-4,-23,-18,0,0,-20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3503,1,30,35,40,55,45,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3504,2,-20,-70,-57,-5,-17,-47,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
3505,1,-55,40,55,-70,55,35,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
3506,2,53,136,47,117,54,85,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
3507,2,8,36,29,-8,-3,-16,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
3508,1,-68,-50,-22,-57,-41,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
3509,1,-23,-12,7,8,-10,37,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3510,1,-20,-40,31,-45,1,-25,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3511,2,-35,-65,-25,-130,-100,-50,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
3512,2,-35,-34,62,-19,-21,-18,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
3513,1,30,-25,45,-15,40,45,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3514,2,-10,-49,-35,70,-5,-6,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3515,2,-34,-44,-34,-4,-64,-25,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
3516,2,3,15,-15,5,-40,-24,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3517,1,10,-30,-5,15,-5,30,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3518,1,0,-18,30,23,40,30,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3519,2,-70,25,15,-55,40,-25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3520,1,-20,-12,-17,28,-17,51,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3521,2,-25,-5,-45,-25,-45,-73,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
3522,2,-7,17,0,-3,12,-26,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
3523,2,10,-35,-15,10,0,-25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3524,2,25,10,30,15,30,30,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3525,1,-20,-35,20,-50,-40,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3526,1,70,40,25,-30,25,15,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
3527,2,-7,-40,95,10,60,-25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3528,2,-23,0,-5,-20,-5,-31,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3529,1,-35,-30,10,-35,-20,-65,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3530,2,21,8,-3,5,-5,-30,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3531,2,-80,-110,-45,-135,-100,-10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
3532,2,18,25,25,75,30,-49,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
3533,2,-40,-10,-15,-20,-15,-9,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3534,2,-25,-59,-30,10,-10,-16,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3535,1,-10,-10,-21,-5,-21,27,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3536,1,40,75,-188,75,-188,86,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3537,1,15,40,-25,40,5,55,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3538,2,50,20,35,0,50,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3539,2,-37,-95,15,-25,15,-90,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3540,1,0,10,5,-20,-15,45,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3541,2,-9,42,65,-38,0,-31,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3542,1,-45,-70,-50,15,-35,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3543,2,-65,-68,-40,-85,-40,-92,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3544,1,50,40,-10,45,50,30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3545,1,6,-11,27,14,34,15,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3546,1,6,-11,20,101,35,34,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
3547,1,39,38,78,38,10,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3548,1,45,60,68,100,88,24,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
3549,1,10,15,30,20,90,43,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3550,1,45,30,5,0,0,34,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3551,1,-50,-20,30,25,95,35,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
3552,1,-5,-35,-60,21,-23,67,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
3553,2,50,-20,45,5,45,-45,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3554,2,-55,-60,-35,-95,-30,50,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3555,2,17,10,9,35,44,-20,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3556,1,-50,-15,-70,0,-165,30,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3557,2,-15,20,45,-45,15,-12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3558,2,-44,-119,-95,-102,-45,-52,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
3559,2,10,37,114,-91,-29,-62,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
3560,2,-10,-45,11,45,-5,-21,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3561,2,-8,-39,-6,21,44,-28,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
3562,1,2,10,5,15,15,44,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3563,2,15,50,25,55,30,-30,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
3564,2,8,41,-20,10,-30,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3565,2,-23,9,-20,-16,-35,-10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3566,2,35,10,3,52,-25,-34,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
3567,2,-75,-5,40,-25,20,-25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3568,2,-35,-25,-5,10,-35,-30,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
3569,2,-40,-38,-25,-58,-50,-50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
3570,1,9,81,-30,-21,8,23,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3571,2,-15,-82,-17,-49,-69,-5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3572,2,17,85,50,25,5,-17,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3573,2,6,-7,-17,-38,-23,-36,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3574,2,0,-60,-55,-25,-15,-35,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3575,2,-25,-10,45,-100,-35,-85,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3576,2,-50,-5,40,35,-10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3577,2,6,34,25,30,30,-5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3578,2,7,-45,-57,28,9,37,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
3579,1,18,20,-60,10,20,30,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3580,1,0,90,-50,90,-50,20,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
3581,2,-20,-6,-3,30,4,-20,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3582,2,25,74,131,1,-7,-12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
3583,1,10,37,52,23,35,45,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3584,2,-30,-50,-25,35,20,12,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3585,2,-20,10,55,-15,50,-30,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
3586,1,15,29,-32,29,-32,65,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3587,1,10,5,48,50,48,34,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
3588,1,10,40,-30,75,-35,70,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3589,1,-3,44,6,73,-9,98,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
3590,2,2,49,0,-51,-25,-15,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3591,1,16,45,77,3,20,39,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
3592,2,-55,-80,-58,-5,17,25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3593,1,-81,-10,15,45,-20,91,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
3594,2,-50,-52,-41,-70,-58,-10,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3595,1,35,62,28,35,-40,35,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3596,1,19,21,24,10,19,27,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3597,1,35,18,-48,43,-13,10,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3598,1,65,120,-50,70,-60,35,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
3599,2,30,-60,-35,50,60,-10,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
3600,2,-32,-54,-47,-18,-27,-38,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3601,2,-38,-71,1,-101,21,-32,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3602,2,-68,-67,-37,-51,-33,-19,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
3603,1,0,30,10,30,-5,23,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
3604,2,-11,12,1,-4,-13,-57,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
3605,1,25,-25,0,30,20,55,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3606,2,-10,-15,70,35,10,-25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3607,2,-1,-9,-15,-56,-30,-74,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
3608,2,-23,-14,8,-31,14,-51,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
3609,2,-17,-11,-14,6,1,-16,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3610,2,-10,-30,10,-25,-45,-15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3611,2,15,-10,-35,55,20,105,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3612,2,5,-28,13,-13,-5,-18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
3613,2,9,19,26,-6,31,-19,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3614,1,-5,30,80,25,30,60,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3615,1,-15,-3,-45,-27,-125,35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
3616,2,-10,-90,-100,0,-55,-40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3617,1,5,-10,-15,-20,5,60,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3618,2,15,-14,40,11,45,-6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3619,1,-2,20,5,-75,-10,41,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3620,1,0,-10,43,15,43,24,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3621,2,-44,-63,-60,-110,-80,-50,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3622,1,32,62,32,19,59,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3623,2,45,8,-17,-52,-2,-5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3624,1,-12,37,56,60,30,45,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3625,1,20,-50,-45,15,25,15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3626,2,-30,-50,30,-15,-5,-10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3627,1,20,9,72,80,72,14,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3628,2,5,-7,-20,-80,-60,-45,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3629,1,39,75,180,-10,35,-14,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3630,1,30,-15,-10,15,95,40,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3631,2,-2,17,13,14,3,-6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
3632,1,65,70,30,95,55,65,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
3633,2,-20,-65,15,20,85,-5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3634,1,20,55,70,90,35,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
3635,1,-12,-11,-44,76,26,74,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
3636,1,-5,70,45,-20,10,25,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
3637,1,-190,40,65,10,-15,45,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3638,2,15,40,47,-52,0,-36,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
3639,1,74,-3,18,57,33,58,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3640,1,50,50,70,20,50,55,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3641,2,25,95,85,-70,15,-40,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3642,2,0,4,5,4,5,-14,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3643,2,-35,-30,-25,-55,-35,-30,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3644,2,-16,-41,20,-1,15,-115,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3645,1,21,90,90,60,50,39,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
3646,1,30,52,15,47,-30,38,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3647,1,-25,-38,-59,22,5,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
3648,1,45,40,5,65,-5,70,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3649,1,35,5,-10,0,5,10,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3650,1,-6,92,182,3,18,16,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
3651,2,-15,-45,-67,-18,-5,-44,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
3652,1,60,75,20,-50,35,35,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3653,2,-30,-80,-20,15,25,-60,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3654,1,100,-10,-25,-15,-30,20,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3655,2,-29,-31,-85,-100,-80,-13,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3656,2,10,10,-20,-30,-20,-45,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3657,1,22,-2,34,38,4,14,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
3658,1,79,56,75,70,70,70,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
3659,1,-10,25,5,30,30,45,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3660,2,16,16,25,-17,5,-27,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
3661,2,-25,-50,-61,0,-11,52,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3662,1,10,11,20,40,25,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3663,2,47,14,-5,-3,8,-39,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
3664,1,10,23,-23,18,-43,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3665,2,-62,-120,-49,-150,-119,-30,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
3666,1,-37,-110,30,80,40,22,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3667,2,-37,-60,-50,20,-50,-35,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
3668,2,72,10,15,70,30,25,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3669,1,-25,0,-62,-30,13,66,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3670,1,10,-25,20,32,20,8,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
3671,2,21,6,39,46,49,-1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3672,2,-10,-25,40,5,60,-55,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3673,2,15,22,48,10,20,-25,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
3674,2,-5,-40,-15,-14,-14,60,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3675,2,-4,-3,22,0,25,-30,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3676,2,2,-5,-5,-25,-5,-20,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3677,2,-35,-45,-15,-27,-15,-35,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3678,2,-14,-40,-20,-43,-18,-5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3679,2,10,25,-35,-25,-20,45,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3680,1,20,35,-65,55,-40,70,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
3681,1,25,20,-3,90,25,35,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3682,1,-1,13,3,-20,-20,8,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3683,2,5,5,35,-15,40,-55,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3684,1,17,40,9,-5,-1,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3685,2,-4,-23,5,15,25,-18,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3686,1,6,0,-40,-24,-5,18,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3687,2,14,32,28,-45,-5,-25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3688,2,-55,10,140,-70,-10,-45,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
3689,1,17,24,0,-16,-70,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3690,1,10,50,82,-7,30,49,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
3691,2,7,-65,30,50,-10,-87,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3692,1,15,40,14,33,21,35,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3693,1,54,25,35,50,30,11,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3694,2,-73,-67,42,-38,-27,23,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3695,2,40,5,-75,45,-70,-35,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3696,1,16,-10,-38,45,74,43,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
3697,2,-88,-72,-103,-33,-37,13,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3698,1,46,80,38,68,43,15,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
3699,2,10,-7,-5,-53,-30,-50,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3700,2,-31,-34,-62,-14,-42,-7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3701,1,-10,-1,-25,35,40,26,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3702,2,58,0,81,55,81,-5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3703,1,45,37,37,63,83,55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
3704,1,20,-32,-2,-4,16,27,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3705,1,31,37,-20,25,-20,22,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3706,2,-15,-55,-65,30,-15,60,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3707,2,-50,-70,-65,-90,-35,-10,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
3708,2,-40,-35,10,-30,-10,-10,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3709,2,25,69,55,0,25,-14,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3710,1,-8,35,-30,-35,-130,8,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3711,1,-25,-50,-5,40,-5,40,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3712,2,2,-5,-43,36,-14,-22,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
3713,2,9,-20,-5,10,-10,-100,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
3714,1,-59,-18,-15,-35,-60,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
3715,1,90,-35,30,50,105,35,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3716,2,17,-11,2,21,21,-66,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
3717,1,15,20,5,-10,-30,20,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3718,1,-57,-40,-45,-35,-55,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3719,1,5,68,-3,-5,-20,15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
3720,2,50,-15,60,35,90,-35,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3721,1,5,25,10,55,10,15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3722,2,-10,-5,35,-6,15,-15,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3723,1,25,25,10,15,10,45,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
3724,1,40,10,30,40,-20,60,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
3725,1,-35,25,-80,-80,-35,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3726,1,22,81,59,29,-1,36,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
3727,1,-15,-35,-35,10,10,20,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3728,2,-21,-35,-40,-70,-35,-85,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
3729,1,-13,15,35,40,5,18,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
3730,1,-5,40,60,-10,-5,25,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3731,2,-10,15,-7,-75,-77,-66,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3732,2,-26,8,50,-89,-20,-38,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3733,2,-3,11,-11,16,10,-17,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
3734,1,50,55,20,28,0,20,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
3735,2,-20,-20,-73,-82,-80,-50,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3736,2,-6,-10,-43,-75,-44,-14,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
3737,1,10,55,15,-15,25,10,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3738,2,-7,19,27,-41,-19,-44,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
3739,2,-35,-15,-20,-65,-75,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3740,1,78,125,56,90,56,35,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3741,1,-54,-1,11,14,-54,53,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3742,2,-63,0,-86,-40,-86,-20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3743,1,-12,-11,-39,-14,21,34,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
3744,2,-62,-90,-35,-95,-35,-60,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3745,1,6,20,1,39,1,57,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3746,1,100,70,60,70,60,26,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
3747,1,-28,-18,63,4,69,11,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
3748,1,40,90,100,15,15,15,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3749,2,11,2,7,4,2,-35,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
3750,1,-26,-8,-27,-25,-25,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3751,1,55,78,-48,8,-28,70,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
3752,2,14,-15,0,-35,-10,-14,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
3753,1,40,54,38,9,31,18,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
3754,1,-5,-50,-15,0,-10,15,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3755,2,-30,25,0,-90,-45,-25,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3756,2,-5,-33,-7,-10,-25,-10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3757,1,11,10,-8,35,74,18,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
3758,1,42,36,42,20,35,20,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
3759,1,30,90,60,19,51,115,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3760,2,9,-19,-47,-69,-47,-67,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3761,2,10,-15,23,-20,0,-23,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3762,2,-30,-5,67,5,47,-59,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3763,1,45,-20,35,-20,25,40,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3764,2,10,-20,45,10,55,-5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3765,1,-15,-5,35,-80,-10,5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
3766,1,-7,-51,11,-57,-43,-63,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
