Type 2_first,Type 2_second,Legendary_first,Legendary_second,HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,Winner_mark
12,12,0,0,-8,-35,7,-43,-53,-25,2
15,12,0,0,45,50,52,55,55,15,1
7,7,0,0,-22,11,-20,-14,-20,30,1
12,12,0,0,28,2,-35,23,15,-12,2
12,12,0,0,20,21,16,10,16,42,1
5,7,0,0,15,-2,-70,25,-20,-40,2
17,12,0,0,12,60,-75,20,-35,60,2
12,7,0,0,35,-17,18,12,22,-45,2
1,1,0,0,-10,-58,-25,-65,-20,-31,2
10,12,0,0,20,18,12,15,5,15,1
15,1,0,0,-17,-36,-57,-23,-29,-50,2
14,7,0,0,-15,-5,-30,60,-30,30,1
15,12,1,0,60,40,0,80,40,85,1
12,12,0,0,-35,-35,-13,-72,-89,22,1
12,12,0,1,-55,-55,-45,-55,-45,-37,2
12,12,0,0,-18,-4,17,-39,0,-50,2
17,7,0,1,-19,-15,10,-50,0,-26,2
15,7,0,0,-18,-63,23,-63,23,-75,2
14,12,0,0,-50,-30,-45,-40,-40,-5,2
12,16,0,0,9,-20,-45,0,5,-24,2
12,12,0,0,5,15,-10,110,70,105,1
7,12,0,0,-10,-15,-3,55,27,41,2
12,0,0,0,4,-40,-8,2,-13,10,1
14,17,0,0,-5,-50,-13,-85,-15,-27,2
12,7,0,0,-25,8,-21,-46,14,-25,2
12,7,0,0,-10,-40,0,30,10,-50,2
9,16,0,0,12,-37,-26,8,42,1,1
10,4,0,0,45,35,-65,15,-85,-15,2
7,12,0,0,-25,12,-8,22,-8,35,1
12,7,0,0,10,-75,-65,-40,-55,-70,2
4,12,0,0,12,14,112,18,114,-7,2
14,15,0,0,5,20,-55,15,-75,-20,2
6,12,0,0,5,-20,15,95,55,75,2
4,16,0,0,-35,-110,-70,-25,5,0,2
12,15,0,0,15,42,1,10,-19,-5,2
12,7,0,0,-54,-18,-48,-17,-12,-11,2
5,12,0,0,9,47,-18,-10,-19,21,1
12,17,0,0,24,-50,-22,-25,-5,-39,2
12,7,0,0,-25,-50,-52,-25,-37,5,1
12,2,0,0,10,50,60,-35,5,-45,1
7,5,0,0,-2,-36,8,-1,15,20,1
15,12,0,0,5,1,-30,56,20,29,1
12,7,0,0,15,-50,30,-5,75,-28,2
12,12,0,0,48,-17,7,69,53,-3,2
11,15,0,0,-5,51,-7,-69,-15,21,1
12,12,1,1,76,36,5,36,8,-81,2
13,7,0,0,-21,-27,-12,-14,-2,-25,2
9,12,0,0,25,45,82,8,35,5,1
12,12,0,0,-55,-40,-60,-30,-50,-55,2
12,12,0,0,-5,-20,-15,-55,-40,-20,2
12,17,0,0,-6,-44,3,41,8,-20,2
12,14,0,0,10,23,77,5,-10,-40,1
12,12,0,0,-2,3,8,29,22,-3,2
12,7,0,0,-31,-6,-41,-46,-6,-35,2
12,12,0,0,31,-27,-12,17,32,-16,2
7,12,0,0,-15,57,-50,-21,-65,5,1
8,12,0,0,-10,30,35,-140,-58,-122,2
12,12,0,1,8,-31,-32,-15,-25,-100,2
12,12,0,0,-20,-29,-65,-64,-25,38,1
12,2,0,0,-15,-25,-28,-57,-61,21,1
9,12,0,0,22,48,40,37,35,77,1
7,12,0,0,23,0,-20,0,-15,51,1
7,12,1,0,40,20,35,75,40,60,1
17,7,0,0,-45,35,36,-20,-4,-10,2
4,9,0,0,17,-3,37,27,15,78,1
12,12,0,0,-25,-30,-60,-75,-40,35,1
7,12,0,0,9,23,-5,72,15,43,1
12,16,0,0,16,22,-53,-18,20,23,1
10,12,0,0,-32,10,-15,0,5,2,1
1,12,0,0,53,-12,-12,36,-49,8,1
12,10,0,0,-20,-56,-145,-23,-60,-2,2
7,12,0,1,-80,-130,-68,-50,-68,-30,2
12,12,0,0,-25,-83,-45,-23,-10,9,2
12,10,0,0,-50,-97,-62,-42,-62,-6,2
9,6,0,1,0,-20,0,-50,-20,10,1
12,2,0,1,-85,-40,-35,-85,-35,-30,2
14,1,0,0,-18,-14,2,24,24,-29,2
15,10,0,0,-15,-65,-155,5,-20,50,1
7,12,0,0,-50,-45,-40,-43,-25,5,1
12,15,0,1,-62,-59,-60,-50,-35,-35,2
9,7,0,0,-8,3,35,0,30,-29,2
12,12,0,0,15,-3,20,-2,-5,-12,2
6,14,1,0,25,100,75,40,0,40,1
12,12,0,0,15,26,10,56,10,-6,2
11,12,0,0,-40,72,7,12,27,92,1
7,12,0,0,60,95,-5,40,5,125,1
12,12,0,0,0,-30,5,-55,-45,-80,2
12,7,0,0,16,97,-10,-25,0,32,1
9,6,0,0,25,45,32,-87,-15,-26,2
2,9,0,0,12,89,34,69,-2,77,1
1,12,0,0,15,60,-10,35,-10,35,1
5,12,1,0,51,125,65,94,70,45,1
12,14,1,0,-15,-25,85,15,105,5,1
7,18,0,0,23,23,3,56,14,45,1
7,12,0,0,-10,-60,-65,30,35,45,2
1,12,0,0,48,23,12,31,6,-1,2
1,17,0,0,-20,2,-80,-95,-55,5,1
12,4,0,0,-32,-38,8,-41,-2,-81,2
5,12,0,0,15,100,45,40,40,25,1
7,12,1,0,5,57,-6,62,-1,-3,2
12,12,0,0,-25,0,4,-70,35,31,1
12,12,0,0,20,58,20,32,33,29,1
10,12,0,0,-16,13,51,-19,-14,-77,2
14,12,0,0,-25,-35,-3,-25,14,-5,2
14,7,0,0,-25,5,-55,0,-75,-40,2
4,14,0,0,8,0,-15,-45,20,-50,2
7,2,0,0,18,-71,-69,7,37,-1,2
17,2,0,0,-10,-55,70,-70,65,-105,2
12,18,0,0,-30,20,40,-25,10,0,2
12,7,0,0,23,15,5,7,28,42,1
12,12,1,0,35,1,35,51,135,5,1
10,15,0,0,10,9,-15,-35,-15,-64,2
9,12,0,0,-30,35,-5,-65,-15,65,1
12,15,0,0,-18,3,9,-43,-53,-18,2
12,12,0,0,-9,-29,0,-23,4,36,2
12,12,0,0,25,30,30,-18,28,65,1
8,12,0,0,-15,70,-5,125,15,25,2
10,12,1,0,62,13,61,51,55,38,1
12,12,0,0,45,19,60,50,60,41,1
9,14,0,0,21,-9,57,36,27,-32,2
12,7,0,0,-37,-31,-34,-24,-32,-60,2
12,5,1,1,20,-59,-5,-23,-2,-31,2
12,11,1,0,0,-30,25,90,5,0,2
0,9,0,0,-10,10,-72,-18,-25,-24,2
12,14,0,0,26,25,60,-15,15,85,1
7,10,1,0,19,5,-10,-30,-25,81,1
12,2,0,0,-22,-30,-30,-20,-30,7,1
8,12,0,0,-5,-41,-15,-48,-13,-30,2
12,1,0,0,-30,-57,-10,20,5,-52,2
12,12,0,0,-20,-20,-8,-30,-8,-5,2
12,5,0,1,-31,-69,-30,33,15,-3,2
12,1,0,0,-54,-74,-41,-19,-34,8,1
12,10,0,0,-3,40,-5,25,5,-7,2
8,12,0,1,-56,-5,65,-45,-26,-65,2
10,4,0,0,41,63,18,72,32,-1,2
12,12,0,0,-132,-49,-5,-40,20,5,1
5,12,0,0,19,116,39,16,54,44,1
7,12,0,0,-43,35,23,-27,14,82,1
1,5,0,0,10,-15,-20,-25,-20,5,1
17,12,0,0,-35,-5,20,20,-30,-50,2
15,12,0,0,42,44,23,18,11,30,1
16,12,0,0,-15,12,32,22,32,-5,2
10,1,0,0,-27,-34,-13,-19,-16,24,1
10,11,0,0,-35,25,35,-25,-50,-35,2
10,12,0,0,-10,-35,-29,-35,-49,-30,2
12,17,0,0,1,-19,-76,51,-31,10,1
9,12,0,0,-19,19,79,-13,32,36,2
12,12,0,0,10,55,-5,0,-35,30,2
12,12,0,0,18,-4,13,16,16,-20,2
12,11,0,1,-45,-100,-60,-20,-30,50,1
16,6,0,0,-5,15,25,-30,25,-20,2
12,15,0,0,-20,-40,-55,-15,-65,25,2
12,12,0,0,-35,-36,-43,13,28,53,1
12,12,0,0,27,14,32,63,44,8,1
12,5,0,0,-52,-73,80,-5,40,-35,2
12,17,0,0,0,33,-99,18,-59,50,1
10,1,0,0,-60,-54,-10,-65,-70,-41,2
10,10,0,0,5,65,25,30,45,35,1
12,11,0,1,-80,-98,-30,-143,-70,-66,2
17,12,0,0,24,61,53,41,21,0,2
12,5,0,0,-30,-140,-70,-5,-70,-25,2
12,12,0,0,12,0,10,24,24,55,1
12,7,0,0,-42,10,-52,28,18,-20,2
12,7,0,0,-10,10,-10,75,0,0,2
12,12,0,0,-15,-25,-50,-10,0,-10,2
7,13,0,0,3,30,82,-33,16,-2,2
12,7,0,0,15,10,50,0,75,-5,2
7,7,0,1,-25,-128,-50,-90,-50,-26,2
12,15,0,0,-25,-49,-17,-89,-75,-74,2
16,12,0,0,-18,-22,42,42,38,-2,2
10,7,0,0,-45,-61,-29,-15,-50,-40,2
9,7,0,0,-35,38,-25,15,-15,12,1
9,12,0,0,0,8,5,-5,-10,27,1
4,12,1,0,5,100,78,110,78,34,1
12,12,0,0,-14,22,-12,-20,-32,-8,2
12,7,0,0,1,28,-5,-29,-12,-8,2
12,7,1,0,71,56,45,91,58,19,1
18,2,1,0,5,15,25,35,-5,-15,2
9,4,0,0,-35,50,5,25,5,-15,2
12,12,0,0,-18,-58,-25,-43,-23,-15,2
9,14,0,0,20,20,26,-20,37,1,1
12,12,0,0,100,125,45,70,40,85,1
12,12,0,0,7,-22,21,-11,7,-11,2
6,12,1,0,52,28,52,28,52,52,1
10,12,0,0,5,-10,0,-40,-20,5,1
12,12,0,0,-40,-15,60,-65,15,-60,2
13,12,0,0,26,28,22,34,-19,11,1
12,4,0,0,0,-12,-47,-12,-42,21,1
18,12,0,0,-20,30,40,5,-5,5,1
12,12,0,1,-31,-35,-35,-49,-5,-100,2
12,17,0,0,35,34,-34,12,8,75,1
12,7,0,0,45,50,40,80,45,5,1
12,17,0,0,-20,-20,-53,-90,-28,5,1
4,12,0,0,50,-30,-15,50,35,40,1
12,12,0,0,-20,-55,-110,-50,-75,55,2
18,16,1,0,-35,-30,-10,75,35,30,1
9,12,0,0,62,65,60,73,75,65,1
12,12,1,0,40,46,105,46,105,14,1
17,2,0,0,19,55,45,75,45,61,1
12,12,0,0,55,35,45,28,30,5,1
10,6,0,1,-30,-60,-60,-5,15,-70,2
12,8,0,0,-16,-29,-18,30,-15,30,2
14,5,0,0,-15,-35,-35,5,-15,-10,2
4,6,0,0,5,-18,30,27,20,56,2
7,9,0,0,-12,-35,-67,-8,-25,2,2
7,12,0,0,-5,-65,-19,5,-35,-26,2
1,1,0,0,13,-9,12,6,6,9,1
5,12,1,0,-29,-10,-13,60,44,63,1
2,18,0,0,12,35,18,-5,-2,-27,2
12,17,0,0,-1,6,-71,46,-56,45,1
12,12,0,0,21,37,-10,-15,-20,-13,2
12,12,0,0,-25,30,20,-65,-85,-65,2
18,7,0,0,-55,-40,20,5,-15,-45,2
5,1,0,0,15,-32,-44,30,-65,-16,2
16,5,0,0,-33,-52,-37,-9,10,-29,2
12,7,0,0,-45,-50,-25,-15,-35,-70,2
12,12,0,0,30,32,27,14,22,46,1
6,12,0,0,-40,-25,-25,-20,-25,10,1
4,5,0,0,8,-45,-15,105,75,30,1
12,12,0,0,20,35,60,-10,0,5,1
6,10,0,0,0,40,10,25,30,45,1
12,12,0,0,33,60,20,30,20,45,1
6,9,0,0,-45,-15,-45,-50,-45,-40,2
10,12,0,1,-10,20,-100,95,5,-30,2
7,7,0,0,15,-5,20,75,50,20,1
12,12,0,0,15,-15,10,-28,25,-20,2
4,12,0,0,28,50,35,45,65,-5,2
7,9,0,0,10,5,-57,3,-14,1,2
7,4,0,0,-25,-45,-3,-5,2,6,1
12,12,0,0,-52,-65,75,0,85,-13,2
12,7,0,0,-2,28,-2,70,18,40,1
7,4,0,0,20,38,-20,-17,0,14,1
7,15,0,0,13,46,-31,-9,-21,117,1
12,12,0,0,-40,-20,-50,-24,-33,-13,2
9,18,0,0,15,25,15,-47,-32,-2,2
10,7,0,0,35,60,10,-20,-80,-20,2
12,12,0,0,1,-118,-20,-20,-8,10,1
12,7,0,0,10,-14,0,-54,0,-41,2
12,12,0,0,-4,-20,-80,5,-70,19,1
4,12,0,0,25,55,10,125,70,3,1
12,10,0,0,-36,-33,-157,5,-15,35,1
11,7,0,0,-49,-3,24,33,20,35,1
10,8,1,0,49,-10,-29,36,46,60,1
12,9,0,0,1,-22,17,0,4,5,1
12,12,0,0,10,-5,-15,-65,-35,-95,1
5,12,0,0,-22,110,20,5,40,80,1
12,15,0,1,-20,-70,-40,-125,-85,-80,2
9,2,0,1,-15,-10,-44,-85,-18,-34,2
12,17,0,0,0,-45,-35,0,-45,50,2
12,16,0,0,-60,-50,-90,25,-25,-35,2
12,7,0,0,35,50,50,43,53,35,1
17,12,0,0,-15,-25,50,-15,50,-10,2
1,4,0,0,-5,30,-40,0,-40,25,1
12,10,0,0,10,0,0,55,45,45,1
18,12,0,0,-28,-24,-18,-49,-25,-70,2
12,12,0,0,-15,-32,-8,0,0,-20,2
5,12,1,0,13,38,12,27,64,85,1
12,12,0,0,8,-1,-32,45,30,65,1
12,4,0,0,19,19,-74,19,-64,41,1
12,12,1,0,-45,5,10,0,0,10,1
4,17,1,0,20,118,-8,118,22,80,1
12,4,0,0,-5,-12,-40,-14,-30,-71,2
12,12,0,0,-30,-39,-3,-7,-17,-24,2
12,15,0,0,-28,-28,-30,12,-10,7,1
12,12,0,0,25,90,-10,30,25,-70,1
12,12,0,0,49,5,0,-80,-10,-34,2
12,5,0,0,27,-65,-10,43,-45,-40,2
12,12,1,0,20,-50,-15,30,115,-40,2
6,7,0,0,-45,10,-4,20,6,-5,2
16,12,0,1,36,25,60,-70,-25,-71,2
4,18,0,0,61,8,59,41,70,0,2
12,7,0,0,-30,-105,-20,-50,-12,-75,2
9,7,0,0,-10,50,5,-15,-65,-25,2
11,7,0,0,-11,-25,62,55,57,-74,2
12,10,0,0,-30,-54,5,-30,-30,39,2
12,12,0,0,-14,-15,2,-10,7,-19,2
12,5,0,0,155,-118,-80,-2,58,-73,2
12,12,0,0,48,-44,-19,-34,11,-2,2
7,12,0,1,8,-9,-19,-61,-21,1,1
0,12,0,0,-20,32,5,-5,5,30,1
17,12,0,0,-16,13,13,-15,-15,-5,2
7,12,0,0,65,-30,-46,45,-36,0,2
9,5,0,0,-8,-3,15,-16,15,7,1
12,12,0,0,8,1,-10,-18,-8,-28,2
7,12,1,0,35,67,31,84,1,59,1
5,12,0,1,-38,15,-25,-89,25,-50,2
12,4,0,0,-15,5,-110,-5,-110,10,1
2,4,1,0,100,15,35,45,65,40,2
8,14,0,0,44,74,25,-20,15,25,1
12,7,1,0,23,30,10,19,10,9,1
7,12,0,0,50,5,-1,-5,-11,0,2
12,12,0,0,-30,-45,-25,-30,-30,-75,2
12,8,0,0,-39,-71,-32,-2,-32,9,2
10,6,0,0,10,44,10,-30,10,-4,2
12,12,0,0,-25,10,-23,-60,-55,-25,2
12,9,0,0,-7,-35,-54,54,79,21,1
5,12,0,0,53,61,10,16,10,0,2
7,15,0,0,-34,15,-135,-80,-30,130,1
7,12,0,0,-15,35,-5,10,-15,10,1
12,12,0,0,110,90,-30,35,-65,75,2
5,7,0,0,-2,65,3,-15,33,20,1
7,14,0,0,0,-20,-5,-10,-20,-15,2
12,12,0,0,-16,-21,-15,-18,-15,-8,2
12,18,0,0,-19,-35,-20,30,15,24,1
9,13,0,0,-1,32,15,-11,17,-32,2
17,12,0,0,5,19,30,-106,0,-114,1
12,12,0,0,14,-37,10,50,40,83,1
12,15,0,0,34,36,-2,-4,-12,-2,2
7,5,0,1,-28,-30,-17,-40,-79,-37,2
15,12,0,0,-15,122,102,82,62,87,1
12,15,0,0,-35,-15,-20,-65,-75,0,2
5,12,0,0,-59,-22,-10,-19,-29,13,1
12,7,0,0,-35,-50,-26,-25,-36,-88,2
7,12,0,0,38,47,40,9,8,48,1
5,15,0,1,-4,-26,-29,-56,-49,-2,2
12,3,0,0,15,36,7,38,35,40,1
18,4,0,0,-30,13,5,-22,-30,-61,2
14,12,0,0,27,109,0,-35,15,80,1
12,17,0,0,49,13,6,-12,26,59,1
12,14,0,0,15,-5,-34,135,16,103,1
7,4,0,0,82,15,-21,-35,-61,0,2
4,7,0,1,-61,-100,-65,-70,-45,-61,2
12,10,0,0,-30,16,-45,20,-25,49,1
14,12,0,0,-5,-35,15,-10,25,-5,2
7,1,1,0,-24,12,3,74,19,17,1
11,5,0,1,-56,-125,7,-49,7,-44,2
12,12,0,0,-10,3,-38,5,-15,55,1
12,12,0,0,20,21,45,19,57,63,1
12,12,0,0,-45,-60,-25,30,-45,-50,2
12,5,0,0,15,-7,-13,35,25,25,1
12,7,0,0,-10,13,15,-35,5,-19,2
5,12,0,0,-2,-13,2,14,15,14,1
10,10,0,0,37,15,40,25,20,-7,2
12,18,0,0,-20,55,45,-20,60,45,1
15,7,0,0,-70,-10,5,-36,-41,-10,2
12,12,0,0,24,-2,14,43,19,39,1
12,16,0,0,25,22,59,-21,-29,-17,2
16,12,0,0,-60,5,25,-85,-45,0,2
5,12,0,0,23,42,62,-56,-20,-46,2
12,7,0,1,-82,-73,-51,-73,-54,-38,2
4,12,0,0,-10,35,15,-25,-25,-90,2
9,12,0,0,-4,-19,2,-49,12,-67,2
12,18,0,0,40,10,-32,-15,-7,-16,2
7,14,0,0,0,-29,1,-5,55,5,1
12,10,0,0,80,40,-5,15,60,-10,1
1,12,0,0,2,68,-8,72,23,73,1
15,7,0,0,40,10,15,4,10,-28,2
7,12,0,0,-44,-5,-35,10,-30,70,1
11,18,0,0,-29,10,120,30,-15,-1,2
18,12,0,0,-1,-10,55,-6,26,-22,2
15,17,0,0,40,15,-35,20,40,50,1
5,12,0,0,-17,89,31,20,60,20,1
12,12,0,0,10,5,19,-20,-16,-75,2
12,4,0,0,-30,-5,20,30,60,45,1
12,17,1,0,-60,-40,30,45,25,92,2
12,4,0,0,10,5,-15,5,65,-10,2
5,12,0,0,15,75,5,-55,15,20,1
17,10,0,0,2,-1,50,29,50,-6,2
5,14,0,0,23,17,72,-11,30,9,1
2,7,0,0,14,21,12,16,5,-2,2
12,7,0,0,-12,-4,35,-4,15,-30,2
12,12,0,0,15,30,5,105,70,95,1
12,17,0,1,-48,-60,-51,-90,-41,20,1
2,7,0,0,-33,15,-45,-75,-65,-42,2
10,12,0,0,-17,-45,70,-10,15,-13,2
12,12,0,0,5,10,0,-8,-2,20,1
10,12,0,0,-9,-19,-50,-70,-45,-27,2
16,12,0,1,-80,-90,130,-90,130,-95,2
12,10,0,0,47,115,20,35,20,8,1
12,7,0,0,10,25,10,15,15,-16,2
7,1,0,1,-20,-110,40,-85,-60,-15,2
2,5,0,0,32,-25,10,65,30,28,1
7,12,0,0,20,43,-5,2,20,-10,2
12,5,0,0,-10,0,-5,-20,5,35,1
5,12,0,0,-2,50,-15,-70,35,-55,2
4,14,0,0,27,18,22,31,-33,31,1
7,12,0,0,0,-20,-25,-20,0,-3,2
17,2,0,0,5,35,-20,18,-53,46,1
12,9,0,0,20,17,-35,-25,-45,-7,2
12,12,0,0,40,18,13,48,-7,-19,2
12,12,0,0,-35,5,-30,-25,-30,-15,2
12,4,0,1,14,-12,-100,-12,-100,56,1
12,12,0,0,-30,-60,-35,-42,-35,-5,2
7,15,0,0,16,-5,-60,22,-78,16,1
2,12,0,1,-35,-25,0,-53,-17,-46,2
12,9,0,0,-15,-65,-40,45,-30,-10,2
12,7,0,0,-29,22,-13,-12,-27,19,1
7,11,0,0,5,55,-1,-10,5,11,1
12,12,0,0,-29,-18,-41,-63,-61,-59,2
4,12,0,0,-47,-75,-70,5,-35,-70,2
3,7,0,0,10,2,15,27,10,10,1
7,7,0,0,10,-15,25,-55,15,-5,2
12,3,0,0,-25,37,7,-16,-11,-7,2
12,4,0,0,17,-3,-23,-9,-7,-7,2
12,12,1,0,-10,70,55,25,10,120,1
7,7,1,0,71,86,52,76,55,27,1
12,7,0,0,-20,-55,15,-20,20,-50,2
12,12,0,0,25,-30,-45,0,10,-30,2
12,12,0,0,-18,40,33,-42,-16,-23,2
12,12,0,0,-50,-40,-45,-38,-20,-25,2
2,12,0,0,-15,-26,17,-15,-15,-42,2
12,17,0,0,-50,-45,10,10,55,-48,2
4,7,0,0,20,75,83,25,53,-20,1
12,12,0,0,0,-17,7,-40,-25,-40,2
12,12,0,1,27,50,-70,-10,-70,-42,2
12,11,0,1,-65,-130,-40,-80,-30,-60,2
0,11,0,1,-80,-75,-50,-80,-40,-20,2
4,15,0,0,20,10,95,10,95,-10,2
12,5,0,0,-10,-15,-15,10,-10,10,1
12,12,0,0,17,-44,-75,-74,-45,-27,2
7,7,0,0,22,-42,-25,2,33,-48,2
12,3,0,0,-61,8,10,5,0,-17,2
12,12,0,0,28,-50,8,15,-49,13,1
1,12,0,0,50,120,59,0,80,51,1
15,12,0,0,13,26,64,-4,60,-64,2
12,15,0,0,10,-10,-30,40,-45,15,1
12,12,0,0,22,3,19,-2,5,-2,2
7,12,0,0,1,-60,-30,62,-33,6,1
12,12,0,0,-27,-33,-8,-25,-1,15,1
8,12,0,0,-20,-70,70,-70,70,-40,2
2,12,1,0,105,90,60,15,50,70,1
5,4,0,0,28,40,37,-3,0,-52,2
1,7,0,0,33,51,23,13,19,-26,2
16,12,0,0,57,58,72,-27,-3,-8,2
12,18,0,0,23,5,-20,-14,9,-13,2
12,12,0,0,-10,-15,-53,25,7,61,1
7,10,0,0,-12,12,-9,84,30,24,1
2,7,0,1,3,16,49,-76,-21,-30,2
12,12,0,0,30,43,-7,38,28,-16,2
4,18,0,0,43,-55,21,15,56,-30,2
17,14,0,0,20,55,65,-15,50,25,1
17,12,0,0,-35,-63,58,-18,18,-65,2
12,14,0,0,-30,-20,-30,-65,-45,-5,2
7,12,0,0,-20,25,10,0,-35,10,1
12,13,0,0,11,32,12,9,7,-10,2
7,7,0,0,6,44,15,30,20,-50,2
14,12,0,0,-20,0,-25,-35,-30,-65,2
12,7,0,0,-15,-18,0,-15,0,-62,2
17,7,0,1,-20,45,20,-65,15,-80,1
12,14,0,0,9,5,-3,35,17,-39,2
12,12,0,0,-35,-85,-80,-10,-30,25,2
11,12,0,0,57,9,5,4,-5,-40,2
7,10,1,0,35,96,30,115,30,64,1
12,10,0,0,5,1,-25,0,-22,22,1
14,12,0,0,20,15,-90,55,-10,35,1
12,12,0,0,0,-32,-7,-12,-17,-26,2
3,12,0,0,-20,-43,-20,-3,-10,-5,2
7,17,0,0,-10,-90,-55,30,-25,50,2
12,12,1,0,44,20,30,60,20,1,1
1,12,0,0,-25,-3,-25,-48,-25,5,1
7,12,0,0,-33,-32,-11,-47,-4,-5,2
15,12,0,0,11,5,-12,40,-3,43,1
12,16,0,0,15,-60,0,30,85,45,2
12,12,0,0,10,35,30,-38,30,20,1
14,7,0,0,15,15,-10,0,-20,-5,2
12,12,0,0,46,-45,-30,77,30,-1,2
16,11,0,0,10,48,130,-2,0,10,1
8,7,0,0,-59,5,-15,-20,-20,-85,2
12,12,1,1,0,55,-40,55,-40,-30,2
12,12,0,0,10,70,0,65,55,80,1
10,8,0,0,20,35,-7,-35,-7,-41,2
12,12,0,1,-14,25,20,-55,-20,-36,2
7,17,0,0,-7,-75,-50,-10,-55,51,2
9,1,0,0,-50,-64,-10,-25,-10,-50,2
9,7,0,0,-10,10,52,-7,0,-6,2
14,12,0,0,22,27,23,53,55,25,1
12,12,0,0,-36,40,-5,13,-15,41,1
12,8,0,0,10,-58,15,-70,5,38,2
12,2,0,0,30,5,15,-57,-53,56,1
4,12,0,1,-30,-55,45,-55,45,-30,2
12,10,0,0,-58,-95,-70,-80,-50,-32,2
6,4,1,0,33,62,43,69,53,-11,2
15,12,0,0,35,-10,31,40,61,-30,2
12,10,0,0,-5,-45,-20,65,-10,-20,2
7,12,0,0,5,15,10,35,10,35,1
15,12,0,0,-9,-18,8,-2,-5,23,1
12,4,0,1,10,-15,-110,-70,-105,18,1
8,1,0,0,-53,-18,8,-6,4,-34,2
14,18,0,0,-20,5,-10,15,5,45,1
12,1,0,0,-20,-60,25,-100,-20,-95,2
12,12,0,0,-18,-80,-25,-80,-15,10,1
12,12,1,0,-10,-15,120,40,115,22,1
8,15,0,0,20,95,-30,115,-10,30,1
3,7,0,0,8,33,10,53,10,53,1
14,15,0,0,20,15,-15,90,45,60,1
12,12,0,0,-15,-50,-30,-30,-40,-41,2
12,17,0,0,79,50,-29,73,-5,58,1
12,12,0,0,-30,-24,-75,-25,-45,27,1
1,12,0,0,58,-7,22,26,16,74,2
14,12,0,0,-35,0,15,60,-35,70,1
18,12,0,0,34,55,25,35,40,26,1
9,12,0,0,30,35,82,-12,25,24,1
12,12,0,0,25,-5,5,55,45,60,1
12,15,0,0,-6,28,-9,27,4,-3,2
7,10,0,0,-6,-5,10,18,17,18,1
12,12,0,0,-10,25,-3,30,15,8,1
7,7,0,0,10,40,20,40,-40,10,1
4,12,0,0,-5,-46,-4,-24,-16,-65,2
12,12,0,0,0,60,-10,75,-30,10,1
2,12,0,0,19,13,41,101,51,-67,2
12,12,0,0,-4,4,0,35,5,10,1
7,12,0,0,-4,-54,6,51,-29,40,1
14,10,0,1,-63,-50,-76,34,-40,0,2
12,10,0,0,-42,-90,-45,0,0,-15,2
11,12,0,0,58,-6,15,4,7,-47,2
5,7,0,0,-30,-9,-36,-66,6,15,1
7,10,0,0,-9,-102,-32,-48,-8,-41,1
14,6,0,0,-25,-30,-5,-10,0,-30,2
12,12,0,0,-10,-50,0,15,-5,25,1
12,14,0,0,31,45,55,45,45,85,1
12,14,0,0,-20,0,-20,-50,-35,-45,2
17,14,0,0,30,15,16,90,11,13,1
0,7,0,0,-43,-30,15,-40,-15,-36,2
7,17,0,0,-16,-45,-45,-80,-55,-19,2
7,14,1,0,24,55,40,20,35,36,1
12,12,0,0,5,35,-2,25,8,46,1
1,13,0,0,17,25,-5,-38,-5,-22,2
12,12,0,0,55,11,-36,0,30,50,1
10,5,0,0,22,59,60,84,65,-30,1
12,8,0,0,-15,-35,-115,18,-16,10,2
12,2,0,1,-26,-54,-32,-69,-44,-50,2
12,17,0,0,-20,-12,-128,23,-98,-10,2
6,7,1,0,48,55,45,92,58,30,1
12,12,0,0,15,-35,-5,0,30,15,1
5,12,0,0,20,58,50,-23,17,-17,2
4,12,0,0,55,-15,-40,-15,-35,-40,2
7,12,0,0,15,-48,-29,-38,-19,-31,2
6,7,0,0,20,10,50,110,55,24,2
12,12,0,1,-40,-40,10,-15,20,13,1
4,7,0,0,-30,-35,-37,20,18,50,2
12,4,0,0,5,30,-5,-105,-75,-10,2
12,12,0,0,-14,-30,8,-20,-10,-34,2
18,12,0,0,10,35,57,50,52,-14,2
17,12,0,0,-46,75,15,-52,-15,36,1
2,12,0,0,7,-10,10,20,10,48,1
12,12,0,0,60,70,75,55,-5,-50,1
10,12,0,0,55,45,110,25,-25,5,1
12,12,0,0,25,45,75,15,45,10,1
1,12,0,0,-50,-28,-90,-75,-15,15,1
7,4,0,0,5,-5,-5,-60,-45,-40,2
17,12,0,0,24,41,69,-4,53,-24,1
12,12,0,0,0,35,5,-15,30,0,2
12,12,0,0,-20,-40,-17,-15,-5,-43,2
12,12,0,0,-53,35,9,-25,24,20,1
12,12,1,0,55,75,35,15,-10,5,1
10,7,0,0,-15,9,15,-11,-20,-44,2
11,15,0,0,-2,71,-31,11,-11,92,1
12,16,0,0,46,-38,-13,-8,65,53,1
4,10,1,0,15,115,-50,130,65,40,1
12,12,0,0,20,50,-20,-85,-5,15,1
9,4,0,0,25,10,37,3,20,19,1
12,14,0,0,5,-10,-10,50,30,35,1
5,15,0,0,23,6,-21,-9,-26,37,1
12,4,0,1,-7,-130,-55,-120,-45,-13,2
12,12,0,0,-35,-40,15,55,30,-25,2
4,12,0,0,5,-67,-104,16,34,22,1
18,11,0,0,0,-10,-10,5,-25,-25,2
